CustomerID,Age,Gender,City,Income,Visits,TimeSpent,Orders,AmountSpent,DiscountUsed,Satisfaction,Membership,Returned,Month,ProductCategory
1001,21,Male,Belgaum,134157,9,20,3,18294,No,4,Premium,No,9,Fashion
1002,50,Female,Shimoga,28068,1,5,1,4272,No,2,Regular,Yes,10,Fashion
1003,45,Female,Shimoga,71678,4,8,2,10564,Yes,3,Silver,No,6,Beauty
1004,36,Female,Hubli,79574,3,5,1,10551,Yes,3,Silver,No,1,Home
1005,36,Male,Hubli,123725,12,40,4,18878,Yes,5,Premium,No,9,Fashion
1006,54,Male,Belgaum,36774,9,18,2,8171,No,1,Silver,Yes,12,Fashion
1007,21,Female,Bangalore,76428,9,34,4,10672,Yes,3,Silver,No,5,Grocery
1008,47,Male,Davangere,39802,9,17,3,7016,No,3,Silver,No,4,Beauty
1009,26,Male,Mysore,122393,17,46,7,20175,No,2,Premium,No,5,Fashion
1010,21,Male,Bangalore,102197,15,58,5,18010,No,4,Premium,No,7,Fashion
1011,40,Female,Bangalore,84576,8,32,2,14412,No,2,Gold,No,5,Electronics
1012,58,Female,Davangere,71080,10,31,4,10224,Yes,2,Silver,No,6,Grocery
1013,48,Female,Bangalore,39912,7,14,3,6674,No,1,Regular,No,9,Fashion
1014,49,Female,Bangalore,139841,16,44,7,20814,Yes,4,Premium,No,6,Fashion
1015,48,Female,Bangalore,104196,15,46,8,17411,No,5,Premium,Yes,6,Grocery
1016,51,Male,Bangalore,61490,9,27,4,9992,No,1,Silver,Yes,1,Beauty
1017,39,Female,Bangalore,73812,8,23,4,14511,No,2,Gold,No,12,Electronics
1018,23,Male,Belgaum,114404,11,33,3,18950,No,2,Premium,No,7,Electronics
1019,53,Male,Bangalore,113544,11,31,3,19450,No,5,Premium,No,6,Electronics
1020,36,Female,Davangere,79943,10,20,6,13799,No,2,Gold,No,2,Home
1021,39,Male,Davangere,59377,8,20,2,13047,No,2,Gold,Yes,9,Electronics
1022,33,Male,Mysore,105794,11,39,3,15322,No,3,Gold,No,11,Grocery
1023,25,Male,Bangalore,105570,13,29,5,14782,Yes,3,Gold,No,1,Grocery
1024,56,Female,Hubli,97960,14,41,6,17579,Yes,3,Premium,No,3,Home
1025,50,Male,Bangalore,29470,6,12,1,6389,No,4,Regular,No,3,Home
1026,45,Male,Mysore,81462,15,46,6,15933,Yes,4,Gold,No,9,Fashion
1027,34,Female,Tumkur,99810,16,45,8,19646,No,3,Premium,No,12,Electronics
1028,52,Male,Tumkur,143508,15,55,5,21107,No,5,Premium,No,7,Beauty
1029,40,Female,Belgaum,88323,16,52,5,16009,No,2,Gold,No,6,Electronics
1030,36,Female,Bangalore,64553,6,9,3,12963,Yes,1,Gold,Yes,10,Electronics
1031,36,Female,Mangalore,92253,15,50,6,19997,No,4,Premium,No,10,Fashion
1032,27,Male,Mangalore,43040,6,13,2,9547,Yes,3,Silver,No,5,Electronics
1033,21,Male,Mysore,31790,3,5,1,6389,Yes,3,Regular,No,3,Fashion
